stage,ram_before_mb,ram_after_mb,ram_peak_mb,ram_peak_increase_mb,time_seconds,gpu_allocated_mb,gpu_reserved_mb,gpu_peak_allocated_mb,gpu_peak_reserved_mb
Stan początkowy,528.7734375,528.7734375,528.7734375,0.0,0.0,0.0,0.0,0.0,0.0
Wczytanie CIFAR-10,529.19140625,707.46484375,707.76171875,178.5703125,1.2692053318023682,0.0,0.0,0.0,0.0
Utworzenie modelu VGG16,707.55859375,1237.17578125,1236.9765625,529.41796875,0.857933521270752,0.0,0.0,0.0,0.0
Trening VGG16,1237.265625,1221.2421875,1729.85546875,492.58984375,274.3754508495331,1043.3916015625,11162.0,6652.78662109375,11162.0
Ewaluacja VGG16 na CIFAR-10 test,1221.2421875,1277.76953125,1277.7734375,56.53125,24.426002979278564,1043.3916015625,4254.0,3432.28759765625,4254.0
