model_type,stage,ram_before_mb,ram_after_mb,ram_peak_mb,ram_peak_increase_mb,time_seconds,gpu_allocated_mb,gpu_reserved_mb,gpu_peak_allocated_mb,gpu_peak_reserved_mb
,Stan początkowy,528.15625,528.15625,528.15625,0.0,0.0,0.0,0.0,0.0,0.0
,Wczytanie CIFAR-10,528.56640625,706.7890625,706.79296875,178.2265625,1.318730115890503,0.0,0.0,0.0,0.0
VGG16,Utworzenie modelu VGG16,706.89453125,1236.4921875,1236.29296875,529.3984375,0.8063240051269531,0.0,0.0,0.0,0.0
VGG16,Trening VGG16,1236.4921875,1221.07421875,1730.17578125,493.68359375,246.18385791778564,1043.3916015625,11162.0,6652.78662109375,11162.0
VGG16,Ewaluacja VGG16 na CIFAR-10 test,1221.0703125,1277.5078125,1277.51171875,56.44140625,22.06248188018799,1043.3916015625,4254.0,3432.28759765625,4254.0
AlexNet,Utworzenie modelu AlexNet,1277.4921875,1421.48046875,1414.8359375,137.34375,0.20247268676757812,16.25,108.0,16.25,108.0
AlexNet,Trening AlexNet,1421.46484375,1304.6484375,1439.171875,17.70703125,61.861769914627075,451.8603515625,1454.0,1153.228515625,1454.0
AlexNet,Ewaluacja AlexNet na CIFAR-10 test,1304.6328125,1305.27734375,1305.28125,0.6484375,10.071170806884766,451.8603515625,706.0,620.7197265625,706.0
