image,model,top1_class,top1_conf,top2_class,top2_conf
kon,VGG16,horse,100.0,deer,3.8521698953245236e-13
kon,AlexNet,horse,95.42604684829712,deer,1.8043801188468933
kon,GoogLeNet,horse,99.99896287918091,dog,0.0006535256034112535
ship,VGG16,truck,99.46925044059753,ship,0.5307500716298819
ship,AlexNet,ship,49.35292899608612,truck,18.91220510005951
ship,GoogLeNet,ship,99.96410608291626,bird,0.015361008991021663
tygrys,VGG16,frog,61.659181118011475,dog,33.999377489089966
tygrys,AlexNet,truck,48.69624376296997,ship,12.409558892250061
tygrys,GoogLeNet,bird,99.22961592674255,frog,0.18023328157141805
